date,time,profile_name,tutorial_entered_at,play_entered_at,play_ended_at,total_game_time_s,score_a,score_b,a_joint1_distance_rad,a_joint2_distance_rad,a_joint3_distance_rad,a_joint4_distance_rad,a_joint5_distance_rad,a_joint6_distance_rad,b_joint1_distance_rad,b_joint2_distance_rad,b_joint3_distance_rad,b_joint4_distance_rad,b_joint5_distance_rad,b_joint6_distance_rad
2026-07-10,11-36-16,two_teams,2026-07-10T11:36:16.743778+08:00,2026-07-10T11:37:17.484604+08:00,2026-07-10T11:42:17.608240+08:00,360.864,0,0,4.533800,3.105149,4.941455,6.500728,4.776471,4.479599,1.774475,4.921399,7.254964,3.228992,5.675194,3.526564
2026-07-10,11-46-15,two_teams,2026-07-10T11:46:15.612649+08:00,2026-07-10T11:47:45.622010+08:00,2026-07-10T11:52:45.649874+08:00,390.037,0,0,0.499076,0.376890,0.364580,0.398881,0.388542,0.288839,0.423491,0.427315,0.437702,0.415048,0.493380,0.321583
2026-07-10,11-58-05,two_teams,2026-07-10T11:58:05.914622+08:00,2026-07-10T11:59:03.545452+08:00,2026-07-10T12:04:03.646178+08:00,357.732,101,0,4.708127,4.519278,7.965966,21.770075,6.560832,8.094694,5.737410,6.950799,9.614635,14.578131,12.829815,6.710050
2026-07-10,12-05-58,two_teams,2026-07-10T12:05:58.754704+08:00,2026-07-10T12:07:28.763040+08:00,2026-07-10T12:12:28.893119+08:00,390.138,28,0,10.893928,5.429982,9.439368,11.380565,15.555871,13.918214,7.223025,4.439767,7.482082,6.175249,6.100352,5.197702
2026-07-10,12-13-47,two_teams,2026-07-10T12:13:47.288731+08:00,2026-07-10T12:15:17.298398+08:00,2026-07-10T12:20:17.324217+08:00,390.035,4,0,1.424014,1.296250,1.035542,1.855704,3.548269,3.834543,1.356892,1.394794,1.112632,1.933391,3.666486,3.505075
2026-07-10,12-44-56,two_teams,2026-07-10T12:44:56.878310+08:00,2026-07-10T12:45:56.007762+08:00,2026-07-10T12:50:56.073815+08:00,359.196,12,0,6.052497,4.141769,6.767544,9.902838,8.104555,9.843368,3.724760,6.465513,5.189563,5.582182,6.352937,4.666715
2026-07-10,12-51-52,two_teams,2026-07-10T12:51:52.073756+08:00,2026-07-10T12:53:22.082556+08:00,2026-07-10T12:58:22.244420+08:00,390.171,0,15,2.824330,2.934879,4.077974,3.131490,4.502326,4.361259,6.030251,6.603428,10.608903,6.146330,6.065380,4.417506
2026-07-10,13-00-27,two_teams,2026-07-10T13:00:27.321493+08:00,2026-07-10T13:01:57.347651+08:00,2026-07-10T13:06:57.362884+08:00,390.041,0,0,1.023373,0.387510,0.382559,0.414130,0.398361,0.287856,0.430463,0.427391,0.413895,0.423432,0.503394,0.328672
2026-07-10,13-08-03,two_teams,2026-07-10T13:08:03.047391+08:00,2026-07-10T13:09:33.078076+08:00,2026-07-10T13:14:33.167395+08:00,390.120,0,0,10.963506,5.892963,8.491895,7.750192,12.196992,25.666097,8.237054,1.565418,1.116417,0.561172,0.540974,0.325351
2026-07-10,13-15-30,two_teams,2026-07-10T13:15:30.263381+08:00,2026-07-10T13:17:00.272627+08:00,2026-07-10T13:22:00.401942+08:00,390.139,73,6,11.249184,9.688287,14.090698,21.842236,20.612218,21.472035,3.637555,8.210235,6.822744,9.902904,28.572254,19.379240
